Versão (correção),ID triagem,Data registro,Título do erro,Descrição para suporte (linguagem simples),"Detalhes técnicos (código, arquivos, causa)",Query Sentry (busca em issues),Event IDs Sentry (exemplos),Link Sentry (abrir busca)
6.05.15,cb1d5a2b,2026-04-16,TypeError: Null is not a subtype of String em NotificationData.fromMessageData,,Duplicata de 3a338a00. Push com campo null em message.data; fix null-safety na 6.05.15.,cb1d5a2bc85b4c0b829207927cd3f8f1,,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=cb1d5a2bc85b4c0b829207927cd3f8f1
trunk,5ab3ed0d,2026-04-16,TimeoutException 30s em MenuController._loadMenuItems (/mobile_menu),,PolyHttpClient converte TimeoutException em ApiException(statusCode: 0); catchError existente trata com toast.,5ab3ed0d62464044b7187b1b09f4b46a,,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=5ab3ed0d62464044b7187b1b09f4b46a
6.05.16,f03837da,2026-04-16,TimeoutException 30s em selecionarEntidade ao iniciar app,,"_erroDeRede() em utils.dart: TimeoutException, SocketException, ApiException(0) → toast sem Sentry.",f03837da68294254ac986aa8ec02d2d3,,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=f03837da68294254ac986aa8ec02d2d3
6.05.16,d7856c16,2026-04-16,PlatformException VideoError: Source error na reprodução de vídeo,,video_widget.dart: checagem hasError em _onPlayerChange; mensagem ao usuário sobre conexão.,d7856c1639b34419a5897bb9d4bd5c8c,,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=d7856c1639b34419a5897bb9d4bd5c8c
6.05.16,fcfdd4f8,2026-04-16,PlatformException: pedidos simultâneos de permissão do microfone no chat de áudio (iOS ERROR_ALREADY_REQUESTING_PERMISSIONS / Android already running),"No chat, quando havia várias mensagens de áudio na tela, o aplicativo podia pedir permissão do microfone várias vezes ao mesmo tempo. O sistema operacional (Android ou iOS) não aceita pedidos simultâneos e isso gerava erro no monitoramento. Ajustamos para que o pedido de permissão seja feito de forma ordenada, uma vez por vez, evitando esse conflito.",N instâncias de MobileAudioPlayer chamavam openTheRecorder() em paralelo. Guard _recorderOpening tornou-se static em mobile_audio_player.dart para serializar permissão e abertura do gravador.,fcfdd4f815d041e3bb3bc293459e7d16,b12ee6d542154d28a65403024673bda9,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=fcfdd4f815d041e3bb3bc293459e7d16
6.05.15,3a338a00,2026-04-16,TypeError: Null is not String em NotificationData.fromMessageData,,Cast seguro em params + helper _obterValorMensagem.,3a338a00f556405fbe2d0d9f3d242e77,,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=3a338a00f556405fbe2d0d9f3d242e77
trunk,9f495089,2026-04-16,NoSuchMethodError ao abrir boletim PDF (response null),,montarUrlRelatorio + extrairUrlRelatorio em utils.dart.,9f495089e9ee4d58a8cd5e689c2eda35,,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=9f495089e9ee4d58a8cd5e689c2eda35
6.05.16,840f6faf,2026-04-16,ApiException Cloudflare 403 HTML em selecionarEntidade,,_mensagemParaRespostaHtml() em poly_http_client.,840f6faf028e48bdab3bdf6190df28c6,,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=840f6faf028e48bdab3bdf6190df28c6
6.05.16,1425636d,2026-04-16,ApiException Cloudflare 403 HTML em loadMenuItems,,Resposta HTML 403 substituída por mensagem amigável (acesso fora do Brasil).,1425636d682241f9a746b78bfb2aaaa2,,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=1425636d682241f9a746b78bfb2aaaa2
trunk,ebea251a,2026-04-16,UnsupportedError: Platform._operatingSystem no Flutter Web (startup após Hive),"Na versão web (navegador), ao processar a fila de sincronização offline, o app tentava usar o mesmo mecanismo de segundo plano do celular. No navegador isso não existe da mesma forma e o carregamento quebrava. A correção faz esse envio rodar no fluxo normal da web, sem esse mecanismo nativo.","Problema: em poly_replicate._startIsolate(), na web, o código chamava IsolateRunner.spawn() como no Android/iOS; isso puxa dart:io/Platform no JS e gera UnsupportedError: Platform._operatingSystem. Solução: if (kIsWeb) usar _webIsolate — apenas await function.call(arguments) no isolate principal, com mesmo timeout/catchError; else manter IsolateRunner.spawn(). Arquivo: lib/poly_replicate/poly_replicate.dart. Cenário típico: Hive aberto e fila poly_replicate a processar no startup web (ex. 6.05.14).",ebea251a,ebea251a5e4640a8b00d30b9a15a41c4,https://sentry.io/organizations/polygonus/issues/?project=4511175512883200&query=ebea251a
